agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,expert,5.0,21.733511399999994,1.0,10.0,2.0,0.04830534911848078,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,18.894195359999998,1.0,10.0,2.0,0.048109557516346074,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,26.532672399999996,1.0,10.0,2.0,0.05123133576127014,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,19.09324746,1.0,10.0,2.0,0.049446177134309155,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,21.689289829999996,1.0,10.0,2.0,0.052653871481466774,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,19.990125130000003,1.0,10.0,2.0,0.047394368037581444,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,26.14837307,1.0,10.0,2.0,0.047975619018679916,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,22.878067,1.0,10.0,2.0,0.05011832555857572,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,21.134401259999994,1.0,10.0,2.0,0.04283887793770944,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,5.0,17.643654429999998,1.0,10.0,2.0,0.045347014304513884,1850.0,1.0,3.0,10.0,5.0,10.0
