agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,expert,10.0,31.039821570000004,1.0,10.0,1.0,-1.340652431872758,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,30.927086969999994,1.0,10.0,1.0,-1.2548901058093767,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,41.25927028,1.0,10.0,1.0,-1.349571119636222,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,28.17560246,1.0,10.0,1.0,-1.3759140506663707,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,30.88066558,1.0,10.0,1.0,-1.3771688240976496,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,25.48807623,1.0,10.0,1.0,-1.4641299327408726,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,30.795273559999995,1.0,10.0,1.0,-1.3888731633842444,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,43.07133145999999,1.0,10.0,1.0,-1.3150493241419094,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,25.12296432,1.0,10.0,1.0,-1.2203118412317049,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,38.52673427,1.0,10.0,1.0,-1.3730459999246052,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
