agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,expert,5.0,6.694989780000001,1.0,15.0,1.0,0.002553933681007663,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,10.08939757,1.0,15.0,1.0,0.0024846981729597156,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,16.4567008,1.0,15.0,1.0,0.002622865478287103,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,18.797676799999998,1.0,15.0,1.0,0.0027559104547835887,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,4.731904869999999,1.0,15.0,1.0,0.002439743610686914,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,12.18137351,1.0,15.0,1.0,0.0025133559181063315,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,16.081418129999996,1.0,15.0,1.0,0.0024610092686395153,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,5.599813700000001,1.0,15.0,1.0,0.002298507579701078,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,16.24996368,1.0,15.0,1.0,0.0025504115987333912,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,7.061036430000001,1.0,15.0,1.0,0.00351753944817065,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
