agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,expert,10.0,9.789691190000001,1.0,10.0,1.0,0.0026860891404712215,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,4.797436340000001,1.0,10.0,1.0,0.0034588505477371693,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,13.895157450000001,1.0,10.0,1.0,0.0032677562696802795,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,12.691770269999997,1.0,10.0,1.0,0.0032915133220388208,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,23.775003999999996,1.0,10.0,1.0,0.004464351991723019,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,10.82391847,1.0,10.0,1.0,0.003633970751116673,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,1.7923295,1.0,10.0,1.0,0.0029741196618556526,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,1.9741337199999998,1.0,10.0,1.0,0.003161102005605106,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,1.6392911999999997,1.0,10.0,1.0,0.0029462544102541576,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,10.0,24.255792900000003,1.0,10.0,1.0,0.003684681017130538,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
